efg,efg_opp,ftr,ftr_opp,orb,orb_opp,scr,scr_opp,tov,tov_opp,won
0.525,0.5,0.7391304347826086,0.9230769230769231,0.22857142857142856,0.2,80,74,0.14612761811982464,0.17131669114047968,1
0.5169491525423728,0.5158730158730159,0.6,0.7894736842105263,0.21875,0.3333333333333333,67,80,0.13623978201634876,0.10080645161290323,0
0.5754716981132075,0.4909090909090909,0.7619047619047619,0.7777777777777778,0.4074074074074074,0.24242424242424243,77,68,0.13842746400885933,0.13713658804168952,1
0.373015873015873,0.6893939393939394,0.7857142857142857,0.7333333333333333,0.35,0.26666666666666666,58,102,0.2065167508031207,0.11029411764705883,0
0.675,0.41044776119402987,0.8125,0.7,0.32,0.3404255319148936,94,69,0.12980269989615784,0.12672811059907835,1
0.5303030303030303,0.47058823529411764,1.0,0.85,0.2222222222222222,0.21875,73,65,0.12933264355923435,0.1897018970189702,1
0.4017857142857143,0.3142857142857143,0.7083333333333334,0.8888888888888888,0.22580645161290322,0.32653061224489793,62,60,0.20344662517951173,0.13345195729537365,1
0.4533333333333333,0.4727272727272727,0.8461538461538461,0.5909090909090909,0.3333333333333333,0.28125,79,65,0.10031208203299154,0.23618327822390173,1
0.5079365079365079,0.4528301886792453,0.7857142857142857,0.8,0.3142857142857143,0.1875,75,64,0.10368066355624676,0.11461318051575932,1
0.49242424242424243,0.5526315789473685,0.8666666666666667,0.9166666666666666,0.3333333333333333,0.32142857142857145,78,85,0.14184397163120568,0.11755485893416928,0
0.5833333333333334,0.6181818181818182,0.7,0.8333333333333334,0.1111111111111111,0.1111111111111111,77,83,0.18229166666666669,0.1601708489054992,0
0.6428571428571429,0.7016129032258065,0.6666666666666666,0.75,0.2571428571428571,0.25,93,102,0.08983572895277207,0.053475935828877004,0
0.44642857142857145,0.5428571428571428,0.68,0.7916666666666666,0.3142857142857143,0.43902439024390244,67,95,0.12987012987012986,0.09033423667570009,0
0.44166666666666665,0.5172413793103449,0.6666666666666666,0.7727272727272727,0.2631578947368421,0.23529411764705882,65,77,0.11700468018720749,0.10570824524312895,0
0.5303030303030303,0.6076923076923076,0.75,0.8947368421052632,0.2894736842105263,0.26666666666666666,76,96,0.15753756665050897,0.07560483870967742,0
0.42857142857142855,0.48360655737704916,0.8181818181818182,0.8666666666666667,0.2826086956521739,0.42424242424242425,69,72,0.062625250501002,0.1715686274509804,0
0.5932203389830508,0.5,0.7777777777777778,0.6190476190476191,0.41379310344827586,0.23076923076923078,84,74,0.18310546875,0.09062661833247022,1
0.7596153846153846,0.5188679245283019,0.8095238095238095,0.9166666666666666,0.22727272727272727,0.25,96,77,0.18607123870281764,0.15881418740074113,1
0.47058823529411764,0.5416666666666666,0.8846153846153846,0.8,0.3488372093023256,0.2727272727272727,87,93,0.13123359580052493,0.11709601873536299,0
0.43283582089552236,0.3656716417910448,0.7058823529411765,0.76,0.2619047619047619,0.2857142857142857,70,68,0.1582278481012658,0.10344827586206896,1
0.5,0.4918032786885246,0.8214285714285714,0.875,0.3333333333333333,0.30303030303030304,78,81,0.18221574344023325,0.11171797418073486,0
0.5,0.5078125,0.8333333333333334,0.68,0.3333333333333333,0.34210526315789475,64,82,0.2695071868583162,0.11764705882352941,0
0.46938775510204084,0.4067796610169492,0.6296296296296297,0.7,0.2727272727272727,0.48717948717948717,63,62,0.21828454031843864,0.22779043280182232,1
0.5185185185185185,0.5729166666666666,1.0,0.9130434782608695,0.25925925925925924,0.25,73,76,0.17454350161117077,0.20514223194748357,0
0.49242424242424243,0.5403225806451613,0.6666666666666666,0.7307692307692307,0.475,0.3055555555555556,77,86,0.195822454308094,0.1404494382022472,0
0.427536231884058,0.4918032786885246,0.6,0.9,0.2826086956521739,0.35294117647058826,65,78,0.1405152224824356,0.13613861386138615,0
0.5942028985507246,0.6060606060606061,0.6428571428571429,0.8947368421052632,0.21052631578947367,0.3333333333333333,91,97,0.127669452181987,0.17706949977866313,0
0.5984848484848485,0.6197183098591549,0.7692307692307693,0.8260869565217391,0.2777777777777778,0.375,99,107,0.13416815742397137,0.09986684420772303,0
0.6825396825396826,0.6231884057971014,0.65,0.8108108108108109,0.34375,0.29411764705882354,112,116,0.12958963282937366,0.08576329331046312,0
0.6129032258064516,0.6083333333333333,0.7407407407407407,0.6666666666666666,0.34375,0.3225806451612903,96,93,0.1085907335907336,0.1605504587155963,1
0.5178571428571429,0.5612244897959183,0.75,0.7,0.25806451612903225,0.21428571428571427,70,69,0.11261261261261263,0.15988372093023256,1
0.578125,0.5,0.8333333333333334,0.5,0.1875,0.325,89,70,0.11122095897182402,0.19621421975992612,1
0.4632352941176471,0.5,0.5454545454545454,0.8148148148148148,0.38095238095238093,0.1935483870967742,69,73,0.14144271570014144,0.1713231418028466,0
0.4696969696969697,0.55,0.7894736842105263,0.9444444444444444,0.3,0.3333333333333333,77,83,0.10796545105566219,0.15015015015015015,0
