#,Player,Status,Pos,Min,FGM-A,3PM-A,FTM-A,FIC,Off,Def,Reb,Ast,PF,STL,TO,BLK,PTS
9,"<a href=""/player/Paco-Cruz/Summary/22354"">Paco Cruz</a>",Starter,SG,34:55,5-10,1-3,5-6,14.0,0.0,3,3,7,1,3,4,0,16
31,"<a href=""/player/Christian-Eyenga/Summary/1661"">Christian Eyenga</a>",Starter,SF,20:44,2-8,1-2,2-2,2.0,0.0,3,3,1,3,2,2,0,7
4,"<a href=""/player/Ian-OLeary/Summary/8541"">Ian O'Leary</a>",Starter,PF,30:21,4-6,2-3,0-0,15.5,3.0,6,9,2,3,2,0,0,10
0,"<a href=""/player/Gabriel-Olaseni/Summary/28758"">Gabriel Olaseni</a>",Starter,C,21:55,5-10,0-0,2-2,4.0,2.0,1,3,0,5,1,1,0,12
16,"<a href=""/player/Gregory-Vargas/Summary/41079"">Gregory Vargas</a>",Starter,PG,38:35,4-12,3-5,7-8,12.2,2.0,3,5,5,4,0,1,0,18
-,"<a href=""/player/Przemek-Karnowski/Summary/24347"">Przemek Karnowski</a>",Bench,C,18:16,3-8,0-0,1-2,4.8,1.0,2,3,0,2,2,0,1,7
12,"<a href=""/player/Alex-Llorca/Summary/26130"">Alex Llorca</a>",Bench,SG,10:13,1-2,0-1,2-2,0.2,0.0,0,0,0,1,0,1,0,4
19,"<a href=""/player/Sergio-Llorente/Summary/39749"">Sergio Llorente</a>",Bench,PG,01:25,0-0,0-0,0-0,1.0,0.0,0,0,1,0,0,0,0,0
5,"<a href=""/player/Luka-Rupnik/Summary/26562"">Luka Rupnik</a>",Bench,PG,04:41,0-1,0-0,0-0,-1.8,0.0,0,0,0,2,0,0,0,0
,"<a href=""/player/Rolands-Smits/Summary/27874"">Rolands Smits</a>",Bench,SF,18:55,2-4,1-3,2-2,4.5,0.0,1,1,2,5,1,0,0,7
&nbsp;,Team,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,2,3,5,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;
